name,Plate,Replicate,Timepoint,counts
LL,LL,2,24,205500000
LL+TMW,LL,1,6,228500000
LL+TMW,LL,2,6,140500000
LL+TMW,LL,1,72,313000000
LL+TMW,LL,1,96,232000000
PF+LL,LL,2,0,187500000
PF+LL,LL,2,48,142500000
PF+TMW+LL,LL,1,0,172500000
PF+TMW+LL,LL,2,0,185500000
PF+TMW+LL,LL,1,6,384500000
PF+TMW+LL,LL,2,6,270500000
PF+TMW+LL,LL,1,48,242500000
PF,PF,3,0,155500000
PF,PF,1,6,170500000
PF,PF,3,6,181000000
PF+TMW,PF,1,0,364500000
PF+TMW,PF,2,0,311500000
PF+TMW,PF,2,6,521000000
PF+LL,PF,1,0,126000000
PF+LL,PF,2,0,144500000
PF+LL,PF,1,6,126500000
PF+LL,PF,2,6,129000000
PF+LL,PF,2,24,282000000
PF+TMW+LL,PF,1,0,259500000
PF+TMW+LL,PF,2,0,239000000
PF+TMW+LL,PF,2,6,311500000
TMW,TMW,2,0,190000000
TMW,TMW,2,6,256500000
LL+TMW,TMW,2,0,105000000
LL+TMW,TMW,1,6,186000000
LL+TMW,TMW,2,6,132500000
LL+TMW,TMW,1,72,170500000
LL+TMW,TMW,1,96,213000000
PF+TMW,TMW,1,0,252000000
PF+TMW,TMW,1,0,252000000
PF+TMW,TMW,2,0,208500000
PF+TMW,TMW,2,0,173500000
PF+TMW,TMW,2,6,461000000
PF+TMW,TMW,2,6,466000000
PF+TMW,TMW,1,48,275500000
PF+TMW,TMW,1,48,585500000
PF+TMW,TMW,1,0,284000000
PF+TMW,TMW,1,0,284000000
PF+TMW,TMW,2,0,196000000
PF+TMW,TMW,2,0,161000000
PF+TMW,TMW,2,6,468000000
PF+TMW,TMW,2,6,473000000
PF+TMW+LL,TMW,1,0,120000000
PF+TMW+LL,TMW,1,6,343000000
PF+TMW+LL,TMW,2,6,221500000
PF+TMW+LL,TMW,1,48,313000000
LL,LL,2,96,1400000000
PF+TMW+LL,LL,2,96,1250000000
PF,PF,1,24,1020000000
PF,PF,1,96,1130000000
PF,PF,2,96,1715000000
PF+TMW,PF,1,72,1715000000
PF+TMW,PF,2,72,1165000000
PF+TMW,PF,1,96,2235000000
PF+TMW,PF,2,96,1355000000
PF+TMW+LL,PF,2,24,1775000000
PF+TMW+LL,PF,1,72,1950000000
PF+TMW+LL,PF,2,72,1275000000
PF+TMW+LL,PF,1,96,1905000000
PF+TMW+LL,PF,2,96,1935000000
PF+TMW,TMW,2,24,950000000
PF+TMW,TMW,2,48,870000000
PF+TMW,TMW,1,72,805000000
PF+TMW,TMW,1,96,1335000000
PF+TMW,TMW,2,24,1100000000
PF+TMW,TMW,2,48,1175000000
PF+TMW,TMW,1,72,1080000000
PF+TMW,TMW,1,96,1545000000
LL,LL,2,0,43000000
LL,LL,1,6,58000000
LL,LL,2,6,35000000
LL,LL,1,24,71000000
LL,LL,1,48,26000000
LL,LL,1,72,16000000
LL+TMW,LL,2,0,147000000
PF+LL,LL,1,0,56000000
PF+LL,LL,1,6,40500000
PF+LL,LL,2,6,33000000
PF+LL,LL,2,24,42000000
PF,PF,2,0,85000000
PF,PF,2,6,96000000
PF+TMW+LL,TMW,2,0,124000000
LL,LL,2,48,700000000
LL,LL,2,72,730000000
LL,LL,1,96,300000000
LL+TMW,LL,1,0,120000000
LL+TMW,LL,1,24,730000000
LL+TMW,LL,2,24,700000000
LL+TMW,LL,1,48,530000000
LL+TMW,LL,2,48,830000000
LL+TMW,LL,2,72,440000000
LL+TMW,LL,2,96,510000000
PF+LL,LL,1,72,550000000
PF+LL,LL,2,72,770000000
PF+LL,LL,2,96,870000000
PF+TMW+LL,LL,1,24,820000000
PF+TMW+LL,LL,2,24,620000000
PF+TMW+LL,LL,2,48,300000000
PF+TMW+LL,LL,1,72,1430000000
PF+TMW+LL,LL,2,72,900000000
PF+TMW+LL,LL,1,96,1360000000
PF,PF,1,0,140000000
PF,PF,2,24,410000000
PF,PF,3,24,380000000
PF,PF,2,48,1170000000
PF,PF,3,48,400000000
PF,PF,1,72,1290000000
PF,PF,2,72,1570000000
PF,PF,3,72,1200000000
PF+TMW,PF,1,6,650000000
PF+TMW,PF,1,24,1600000000
PF+TMW,PF,2,24,1560000000
PF+TMW,PF,1,48,1490000000
PF+TMW,PF,2,48,1120000000
PF+LL,PF,1,24,420000000
PF+LL,PF,1,48,660000000
PF+LL,PF,2,48,330000000
PF+LL,PF,1,72,650000000
PF+LL,PF,2,72,700000000
PF+LL,PF,1,96,610000000
PF+LL,PF,2,96,900000000
PF+TMW+LL,PF,1,6,610000000
PF+TMW+LL,PF,1,24,1370000000
PF+TMW+LL,PF,1,48,1080000000
PF+TMW+LL,PF,2,48,1080000000
TMW,TMW,1,0,260000000
TMW,TMW,1,6,360000000
TMW,TMW,1,24,730000000
TMW,TMW,2,24,820000000
TMW,TMW,1,48,470000000
TMW,TMW,2,48,900000000
TMW,TMW,1,72,510000000
TMW,TMW,2,72,700000000
TMW,TMW,1,96,260000000
TMW,TMW,2,96,770000000
LL+TMW,TMW,1,24,700000000
LL+TMW,TMW,2,24,810000000
LL+TMW,TMW,1,48,420000000
LL+TMW,TMW,2,48,520000000
LL+TMW,TMW,2,72,570000000
LL+TMW,TMW,2,96,430000000
PF+TMW,TMW,1,6,520000000
PF+TMW,TMW,1,24,805000000
PF+TMW,TMW,2,72,250000000
PF+TMW,TMW,2,96,340000000
PF+TMW,TMW,1,6,640000000
PF+TMW,TMW,1,24,935000000
PF+TMW,TMW,2,72,730000000
PF+TMW,TMW,2,96,490000000
PF+TMW+LL,TMW,1,24,655000000
PF+TMW+LL,TMW,2,24,630000000
PF+TMW+LL,TMW,2,48,270000000
PF+TMW+LL,TMW,1,72,400000000
PF+TMW+LL,TMW,2,72,260000000
PF+TMW+LL,TMW,1,96,730000000
PF+TMW+LL,TMW,2,96,440000000
